292,70,20,-7,-417,-5178,53,37,1089,2
292,70,20,-18,-441,-17,53,37,1089,2
559,-153,-2151,2143,-869,-4714,77,65,1097,2
549,-156,-2135,2143,-869,-4714,77,65,1097,2
549,-156,-2135,2149,-887,-4729,77,65,1097,2
549,-156,-2135,2149,-887,-4729,87,53,1110,2
549,-156,-2135,2162,-382,-4709,87,53,1110,2
570,-141,-2143,2162,-382,-4709,87,53,1110,2
570,-141,-2143,2162,-382,-4709,108,55,1083,2
228,-446,-2207,1386,-1608,39,82,37,1082,2
239,-32,62,1375,-1401,-5019,64,34,1095,2
-131,14,-2156,1429,-1037,33,66,127,24,2
-131,14,-2156,1429,-1037,33,90,100,1061,2
341,-41,-2202,1429,-1037,33,90,100,1061,2
341,-41,-2202,1371,-1034,-1,90,100,1061,2
341,-41,-2202,1371,-1034,-1,91,80,1059,2
331,-19,-2160,1368,-442,-5800,95,100,1091,2
331,-19,-2160,1381,-485,-5764,95,100,1091,2
331,-19,-2160,1381,-485,-5764,93,98,28,2
331,-19,-2160,1382,-1038,-5744,93,98,28,2
-142,31,-2418,871,-824,-21,105,85,1090,2
-142,31,-2418,850,-830,-17,105,85,1090,2
-157,28,-2412,850,-830,-17,105,85,1090,2
-157,28,-2412,850,-830,-17,86,92,1095,2
-157,28,-2412,857,-833,-7,86,92,1095,2
-157,28,-2412,857,-833,-7,105,93,1086,2
-135,21,-2400,857,-833,-7,105,93,1086,2
-135,21,-2400,847,-830,-23,105,93,1086,2
-135,21,-2400,863,-844,-40,105,93,1086,2
-135,21,-2400,863,-844,-40,98,89,1085,2
-166,20,-2395,863,-844,-40,98,89,1085,2
-166,20,-2395,852,-841,-30,98,89,1085,2
-166,20,-2395,852,-841,-30,85,106,1077,2
-166,20,-2395,857,-850,5,85,106,1077,2
10,-611,-2406,903,-1041,-7,98,84,1091,2
10,-611,-2406,940,-1064,17,98,84,1091,2
10,-611,-2406,940,-1064,17,107,57,1093,2
10,-611,-2406,31,-445,-14,107,57,1093,2
-151,-589,-2449,31,-445,-14,107,57,1093,2
-151,-589,-2449,31,-445,-14,119,89,1085,2
-151,-589,-2449,1207,-462,-4204,119,89,1085,2
-143,-30,-2408,1207,-462,-4204,119,89,1085,2
-143,-30,-2408,1200,-482,-4200,119,89,1085,2
-143,-30,-2408,1200,-482,-4200,118,99,1110,2
-141,-52,-2424,1200,-482,-4200,118,99,1110,2
-80,28,-1397,662,-114,-1422,-331,-810,1083,3
-80,28,-1397,666,-74,-1452,-331,-810,1083,3
-80,28,-1397,666,-74,-1452,-970,-786,1108,3
-80,28,-1397,671,-76,-1451,-970,-786,1108,3
-115,33,-1430,639,-39,-1439,-1018,149,499,3
-115,33,-1430,652,-62,60,-298,115,523,3
-115,33,-1430,653,-37,71,-298,115,523,3
-115,33,-1430,661,-48,-1454,-298,115,523,3
-112,52,-1431,655,-60,63,-1025,116,546,3
-112,52,-1431,663,-53,-1450,-1025,116,546,3
-112,52,-1431,663,-53,-1450,-1013,116,1059,3
-112,52,-1431,670,-60,-1452,-1013,116,1059,3
-108,324,90,670,-60,-1452,-1013,116,1059,3
-108,324,90,670,-60,-1452,-986,177,522,3
-108,324,90,661,-52,-1434,-986,177,522,3
-150,43,95,661,-52,-1434,-986,177,522,3
-150,43,95,662,-45,69,-986,177,522,3
-150,43,95,662,-45,69,-979,172,1068,3
-150,43,95,649,-43,67,-979,172,1068,3
-117,25,-1436,674,-43,-1442,-301,148,539,3
-117,25,-1436,653,-59,42,-301,148,539,3
-117,25,-1436,643,-36,-1456,-280,150,490,3
-114,-9,81,643,-36,-1456,-280,150,490,3
-114,-9,81,630,-21,-1463,-280,150,490,3
-114,-9,81,630,-21,-1463,-378,-790,241,3
-102,-16,61,630,-21,-1463,-378,-790,241,3
-102,-16,61,667,-56,54,-378,-790,241,3
-102,-16,61,667,-56,54,-294,-823,490,3
-102,-16,61,666,-44,64,-294,-823,490,3
-115,17,90,666,-44,64,-294,-823,490,3
-115,17,90,666,-44,64,-313,178,529,3
-115,17,90,664,-53,59,-313,178,529,3
-115,17,90,664,-53,59,-351,165,1065,3
45,330,-1317,660,-49,-1453,-911,-1026,677,3
31,320,-1347,663,-49,62,-911,-1026,677,3
31,320,-1347,663,-49,62,-972,-1029,725,3
31,320,-1347,658,-48,32,-972,-1029,725,3
18,320,-1338,680,-24,49,-294,54,694,3
18,320,-1338,681,-27,29,-294,54,694,3
18,320,-1338,681,-27,29,-305,-1007,714,3
44,47,-1346,675,-34,43,-377,-1032,756,3
44,47,-1346,672,-39,28,-377,-1032,756,3
38,53,-1356,672,-39,28,-377,-1032,756,3
38,53,-1356,672,-39,28,-388,-1015,728,3
38,53,-1356,668,-27,5,-388,-1015,728,3
38,53,-1356,668,-27,5,-918,-1022,1107,3
39,-5,-1393,668,-27,5,-918,-1022,1107,3
39,-5,-1393,655,-504,-23,-918,-1022,1107,3
39,-5,-1393,655,-504,-23,-935,-1044,1151,3
45,-10,-1427,655,-504,-23,-935,-1044,1151,3
