688,-35,-1451,-133,-1721,533,1
678,-44,74,-133,-1721,533,1
678,-44,74,-162,-1744,565,1
692,-29,74,-162,-1744,565,1
692,-25,67,-162,-1744,565,1
692,-25,67,-178,-1728,568,1
683,-16,44,-178,-1728,568,1
683,-16,44,-126,5,535,1
719,27,37,-126,5,535,1
719,27,37,89,-25,-7,1
722,9,13,89,-25,-7,1
722,9,13,-102,-1982,-31,1
707,5,48,-102,-1982,-31,1
707,5,48,104,-2014,-11,1
704,16,6,99,14,-2,1
704,16,6,86,19,6,1
714,-2,27,86,19,6,1
714,-2,27,46,-1990,-14,1
702,-6,7,46,-1990,-14,1
702,-6,7,131,-37,-31,1
728,0,3,131,-37,-31,1
728,0,3,324,-92,616,1
685,-19,-11,-107,-46,528,1
685,-19,-11,0,-48,-769,1
711,-28,2,-73,-4228,586,1
711,-28,2,-34,-97,598,1
694,-32,-7,846,-4311,-820,1
694,-32,-7,-112,-4041,-275,1
698,-37,-13,-105,-75,-330,1
698,-37,-13,622,-4728,-625,1
698,-37,-13,792,-4320,633,1
680,-42,-6,-6,16,-599,1
680,-42,-6,787,-4292,521,1
680,-42,-6,384,-4563,-518,1
699,-28,-2,843,-62,-309,1
699,-28,-2,892,-1,-357,1
699,-28,-2,-1,-93,554,1
677,-20,-11,-16,-4285,532,1
677,-20,-11,785,-11,-536,1
677,-20,-11,-64,-88,636,1
677,-20,-6,6,-4007,-605,1
677,-20,-6,-38,-4000,-565,1
708,24,-3,548,-3540,-548,1
708,24,-3,833,-3695,-768,1
692,-55,-20,833,-3695,-768,1
692,-55,-20,654,-3707,-602,1
677,-42,22,654,-3707,-602,1
677,-42,22,-18,-83,-553,1
696,-39,-1,-18,-83,-553,1
696,-39,-1,528,-9,-555,1
693,-43,7,528,-9,-555,1
687,-62,0,528,-9,-555,1
687,-62,0,-16,-3534,-519,1
677,-63,16,-16,-3534,-519,1
677,-63,16,-17,-3516,-524,1
698,-46,8,-17,-3516,-524,1
698,-46,8,-9,-3517,-525,1
696,-34,15,-9,-3517,-525,1
696,-34,15,534,-3455,-516,1
699,-40,12,534,-3455,-516,1
696,-44,-6,534,-3455,-516,1
696,-44,-6,558,-39,525,1
691,-31,19,558,-39,525,1
691,-31,19,538,-3546,536,1
702,-29,14,538,-3546,536,1
702,-29,14,538,-3536,548,1
699,-22,20,538,-3536,548,1
699,-22,20,564,-3530,530,1
707,-23,15,564,-3530,530,1
707,-23,15,564,-3512,537,1
700,-26,15,564,-3512,537,1
710,-15,6,564,-3512,537,1
710,-15,6,594,-3518,526,1
698,-42,11,594,-3518,526,1
698,-42,11,588,-3520,-520,1
689,-20,10,588,-3520,-520,1
689,-20,10,607,-3495,-505,1
697,-21,24,607,-3495,-505,1
697,-21,24,621,-3508,-528,1
694,-25,-4,621,-3508,-528,1
694,-25,-4,600,-3502,-519,1
696,-20,13,600,-3502,-519,1
701,-30,-5,600,-3502,-519,1
701,-30,-5,628,-3512,-523,1
714,-21,10,628,-3512,-523,1
714,-21,10,600,-3465,536,1
698,-35,22,600,-3465,536,1
698,-35,22,590,-3455,-516,1
704,-35,29,590,-3455,-516,1
704,-35,29,612,-3457,-532,1
696,-20,18,612,-3457,-532,1
696,-20,18,598,-3469,-525,1
694,-32,0,598,-3469,-525,1
694,-32,0,605,-106,-516,1
689,-35,25,605,-106,-516,1
722,-33,33,605,-106,-516,1
722,-33,33,604,-3440,-541,1
712,-41,40,604,-3440,-541,1
712,-41,40,591,-3441,-533,1
705,-32,24,591,-3441,-533,1
705,-32,24,598,-103,-529,1
706,-40,4,598,-103,-529,1
706,-40,4,606,-94,-549,1
723,-28,12,606,-94,-549,1
723,-28,12,585,-88,-530,1
709,-40,19,585,-88,-530,1
695,-41,10,585,-88,-530,1
695,-41,10,638,-3441,-528,1
712,-13,15,638,-3441,-528,1
712,-13,15,625,-55,-537,1
701,-14,2,625,-55,-537,1
701,-14,2,625,-43,529,1
718,-28,25,625,-43,529,1
718,-28,25,-110,-71,-532,1
702,-46,12,-110,-71,-532,1
702,-46,12,638,-3438,-561,1
702,-44,-18,638,-3438,-561,1
694,-34,14,638,-3438,-561,1
694,-34,14,626,-59,-524,1
707,-30,8,626,-59,-524,1
707,-30,8,636,-37,-551,1
701,-42,21,636,-37,-551,1
701,-42,21,617,10,-515,1
695,-30,-10,617,10,-515,1
695,-30,-10,623,-6,-526,1
702,-30,23,623,-6,-526,1
702,-30,23,642,17,-537,1
704,-34,20,642,17,-537,1
696,-33,27,642,17,-537,1
696,-33,27,636,-43,-536,1
710,-31,19,636,-43,-536,1
710,-31,19,652,-3532,-520,1
709,-38,15,652,-3532,-520,1
709,-38,15,-85,-3523,-546,1
698,-30,26,-85,-3523,-546,1
698,-30,26,639,-3456,-513,1
695,-27,11,639,-3456,-513,1
695,-27,11,633,-98,539,1
704,-23,31,633,-98,539,1
704,-23,31,-97,-3444,-513,1
712,-22,39,-97,-3444,-513,1
713,-18,26,-97,-3444,-513,1
713,-18,26,-75,-3464,525,1
718,-5,25,-75,-3464,525,1
718,-5,25,-109,-3490,546,1
709,-16,36,-109,-3490,546,1
709,-16,36,611,-100,558,1
707,-37,11,611,-100,558,1
707,-37,11,605,-54,563,1
699,-23,22,605,-54,563,1
716,-29,-5,605,-54,563,1
712,-21,31,646,-3506,547,1
715,-14,15,646,-3506,547,1
715,-14,15,-55,-3518,625,1
732,-13,13,-55,-3518,625,1
732,-13,13,-112,-77,-339,1
720,-17,19,-112,-77,-339,1
720,-17,19,-49,-57,-373,1
726,-21,14,-49,-57,-373,1
726,-21,14,-98,-2,-360,1
705,-21,48,-98,-2,-360,1
705,-21,48,346,-37,-337,1
722,-11,32,346,-37,-337,1
705,-6,43,346,-37,-337,1
705,-6,43,370,-8,-320,1
732,-7,40,370,-8,-320,1
732,-7,40,328,-18,-351,1
713,-7,20,328,-18,-351,1
713,-7,20,347,4,-307,1
702,-9,11,347,4,-307,1
702,-9,11,393,-20,-343,1
701,-19,27,393,-20,-343,1
701,-19,27,341,6,-321,1
698,-3,22,341,6,-321,1
708,10,15,341,6,-321,1
708,10,15,-31,-3491,-270,1
712,-18,31,-31,-3491,-270,1
712,-18,31,384,-3555,-536,1
695,-22,25,384,-3555,-536,1
695,-22,25,547,-74,-522,1
713,-31,21,547,-74,-522,1
713,-31,21,540,-16,535,1
709,-30,29,540,-16,535,1
709,-30,29,9,-3295,540,1
702,-18,17,9,-3295,540,1
695,-19,38,9,-3295,540,1
695,-19,38,533,-3291,523,1
727,-4,45,533,-3291,523,1
727,-4,45,-8,-72,-595,1
699,-35,38,-8,-72,-595,1
699,-35,38,2,-3559,635,1
704,-24,12,2,-3559,635,1
704,-24,12,274,-3559,624,1
699,-25,6,274,-3559,624,1
699,-25,6,283,15,624,1
710,-17,21,283,15,624,1
56,17,-1365,-1247,-38,640,2
68,20,-1371,-1247,-38,640,2
68,20,-1371,-1256,-13,-71,2
73,28,-1410,-1256,-13,-71,2
73,28,-1410,-1,-5,-15,2
611,41,-1369,-1,-5,-15,2
611,41,-1369,6,-14,-21,2
620,37,-1381,6,-14,-21,2
620,37,-1381,-15,-231,7,2
86,33,-1396,-15,-231,7,2
86,30,-1368,-15,-231,7,2
86,30,-1368,4,-10,-10,2
82,28,-1364,4,-10,-10,2
82,28,-1364,-43,10,541,2
85,30,-1359,-43,10,541,2
